 schemaname |             tablename              |    size    | column_count 
------------+------------------------------------+------------+--------------
 public     | act_unified_knowledge              | 16 kB      |            7
 public     | activity_feed                      | 72 kB      |           23
 public     | agent_actions                      | 40 kB      |            8
 public     | agent_metrics                      | 40 kB      |           12
 public     | ai_models                          | 96 kB      |           29
 public     | airtable_quotes                    | 328 kB     |            7
 public     | analysis_results                   | 96 kB      |           17
 public     | analysis_sessions                  | 96 kB      |           35
 public     | annual_report_stories              | 40 kB      |           14
 public     | annual_reports                     | 56 kB      |           51
 public     | api_configurations                 | 48 kB      |           23
 public     | api_endpoints                      | 48 kB      |           29
 public     | api_rate_limits                    | 24 kB      |           16
 public     | api_request_log                    | 24 kB      |           28
 public     | api_resolvers                      | 48 kB      |           21
 public     | api_schema_definitions             | 40 kB      |           15
 public     | approval_requests                  | 40 kB      |           13
 public     | audit_log                          | 144 kB     |           16
 public     | backup_cleanup_log                 | 64 kB      |           18
 public     | backup_config                      | 48 kB      |           25
 public     | backup_execution_log               | 32 kB      |           22
 public     | backup_integrity_checks            | 32 kB      |           23
 public     | backup_restoration_tests           | 32 kB      |           30
 public     | bank_transfers                     | 56 kB      |           11
 public     | bas_preparations                   | 48 kB      |           18
 public     | bas_tracking                       | 64 kB      |           32
 public     | bronze_interactions_raw            | 16 kB      |            7
 public     | bronze_stories_raw                 | 48 kB      |           14
 public     | cashflow_forecasts                 | 40 kB      |           15
 public     | categorisation_rules               | 80 kB      |           12
 public     | chunk_relationships                | 48 kB      |           10
 public     | chunk_topics                       | 48 kB      |           12
 public     | collaborative_annotations          | 96 kB      |           22
 public     | collaborative_sessions             | 40 kB      |           22
 public     | collection_documents               | 96 kB      |           17
 public     | comment_reactions                  | 40 kB      |            6
 public     | comments                           | 56 kB      |           36
 public     | communities                        | 48 kB      |            7
 public     | community_data_governance          | 16 kB      |           17
 public     | community_research_projects        | 16 kB      |            8
 public     | connection_metrics                 | 8192 bytes |           22
 public     | connection_pools                   | 48 kB      |           32
 public     | cultural_locations                 | 16 kB      |           19
 public     | cultural_tags                      | 96 kB      |           15
 public     | data_access_log                    | 96 kB      |           17
 public     | data_governance_policies           | 64 kB      |           23
