 schemaname |               tablename                |    size    | column_count 
------------+----------------------------------------+------------+--------------
 public     | _archive_act_admin_permissions         | 16 kB      |           15
 public     | _archive_act_admins                    | 16 kB      |            9
 public     | _archive_act_feature_requests          | 8192 bytes |           14
 public     | _archive_gallery_photos                | 16 kB      |           11
 public     | _archive_organization_services         | 16 kB      |           19
 public     | _archive_photo_analytics               | 0 bytes    |           22
 public     | _archive_photo_faces                   | 8192 bytes |           21
 public     | _archive_photo_galleries               | 16 kB      |           22
 public     | _archive_photo_gallery_items           | 40 kB      |            8
 public     | _archive_photo_locations               | 8192 bytes |           10
 public     | _archive_photo_memories                | 8192 bytes |           27
 public     | _archive_photo_organizations           | 8192 bytes |            8
 public     | _archive_photo_projects                | 8192 bytes |            8
 public     | _archive_photo_storytellers            | 8192 bytes |           11
 public     | _archive_photo_tags                    | 8192 bytes |           22
 public     | _archive_scraped_services              | 8192 bytes |           21
 public     | _archive_scraper_health_metrics        | 8192 bytes |           12
 public     | _archive_scraping_metadata             | 8192 bytes |           14
 public     | _archive_service_impact                | 8192 bytes |           56
 public     | _archive_services                      | 16 kB      |           11
 public     | _photo_system_audit                    | 16 kB      |            4
 public     | act_projects                           | 160 kB     |           16
 public     | activities                             | 56 kB      |           50
 public     | activity_log                           | 64 kB      |           17
 public     | admin_messages                         | 40 kB      |           21
 public     | ai_agent_registry                      | 48 kB      |           21
 public     | ai_analysis_jobs                       | 40 kB      |           17
 public     | ai_moderation_logs                     | 48 kB      |           14
 public     | ai_processing_logs                     | 40 kB      |           14
 public     | ai_safety_logs                         | 48 kB      |            8
 public     | ai_usage_daily                         | 40 kB      |           20
 public     | ai_usage_events                        | 72 kB      |           27
 public     | analysis_jobs                          | 80 kB      |           12
 public     | analytics_processing_jobs              | 64 kB      |           27
 public     | annual_report_stories                  | 40 kB      |           14
 public     | annual_reports                         | 56 kB      |           42
 public     | audio_emotion_analysis                 | 40 kB      |           12
 public     | audio_prosodic_analysis                | 24 kB      |           23
 public     | audit_logs                             | 72 kB      |           20
 public     | blog_posts                             | 496 kB     |           22
 public     | campaign_consent_workflows             | 104 kB     |           34
 public     | campaigns                              | 104 kB     |           42
 public     | community_interpretation_sessions      | 32 kB      |           14
 public     | community_story_responses              | 32 kB      |           11
 public     | consent_change_log                     | 32 kB      |           13
 public     | content_approval_queue                 | 96 kB      |           26
 public     | content_cache                          | 56 kB      |           14
 public     | cross_narrative_insights               | 72 kB      |           33
 public     | cross_sector_insights                  | 56 kB      |           17
 public     | cultural_protocols                     | 128 kB     |           16
 public     | cultural_speech_patterns               | 32 kB      |           12
 public     | cultural_tags                          | 32 kB      |            8
 public     | data_quality_metrics                   | 40 kB      |           10
 public     | data_sources                           | 48 kB      |           17
 public     | deletion_requests                      | 56 kB      |           25
 public     | development_plans                      | 64 kB      |           18
 public     | document_outcomes                      | 80 kB      |           13
 public     | dream_organizations                    | 80 kB      |           17
 public     | elder_review_queue                     | 56 kB      |           16
 public     | embed_tokens                           | 56 kB      |           22
 public     | empathy_entries                        | 112 kB     |           28
 public     | empathy_sync_log                       | 80 kB      |           13
 public     | events                                 | 0 bytes    |           13
 public     | events_2024_01                         | 72 kB      |           13
 public     | events_2025_08                         | 384 kB     |           13
 public     | events_2025_09                         | 72 kB      |           13
 public     | external_applications                  | 64 kB      |           12
 public     | extracted_quotes                       | 288 kB     |           14
 public     | galleries                              | 64 kB      |           20
 public     | gallery_media                          | 152 kB     |           10
 public     | gallery_media_associations             | 464 kB     |            8
 public     | geographic_impact_patterns             | 64 kB      |           19
 public     | harvested_outcomes                     | 32 kB      |           19
 public     | impact_stats                           | 32 kB      |           10
 public     | impact_stories                         | 88 kB      |           17
 public     | locations                              | 48 kB      |           10
 public     | media_assets                           | 1072 kB    |           66
 public     | media_files                            | 80 kB      |           19
 public     | media_import_sessions                  | 32 kB      |           11
 public     | media_usage_tracking                   | 32 kB      |            9
 public     | message_recipients                     | 40 kB      |           10
 public     | moderation_appeals                     | 40 kB      |           11
 public     | moderation_results                     | 40 kB      |           10
 public     | narrative_themes                       | 320 kB     |           13
 public     | notifications                          | 56 kB      |           13
 public     | opportunity_recommendations            | 80 kB      |           20
 public     | organization_analytics                 | 64 kB      |           18
 public     | organization_contexts                  | 32 kB      |           23
 public     | organization_cross_transcript_insights | 56 kB      |           18
 public     | organization_duplicates                | 48 kB      |           11
 public     | organization_enrichment                | 56 kB      |           13
 public     | organization_impact_metrics            | 96 kB      |           27
 public     | organization_invitations               | 64 kB      |           12
 public     | organization_members                   | 112 kB     |           15
 public     | organization_roles                     | 56 kB      |           10
 public     | organization_storyteller_network       | 64 kB      |           15
 public     | organization_theme_analytics           | 64 kB      |           19
 public     | organizations                          | 744 kB     |           65
 public     | outcomes                               | 176 kB     |           37
 public     | partner_analytics_daily                | 40 kB      |           16
 public     | partner_message_templates              | 32 kB      |            9
 public     | partner_messages                       | 48 kB      |           18
 public     | partner_projects                       | 40 kB      |           17
 public     | partner_team_members                   | 48 kB      |           11
 public     | partners                               | 32 kB      |            8
 public     | personal_insights                      | 64 kB      |           15
 public     | platform_analytics                     | 40 kB      |           40
 public     | platform_stats_cache                   | 16 kB      |           23
 public     | privacy_changes                        | 24 kB      |            9
 public     | processing_jobs                        | 48 kB      |           19
 public     | professional_competencies              | 96 kB      |           13
 public     | profile_galleries                      | 32 kB      |            5
 public     | profile_locations                      | 200 kB     |            6
 public     | profile_organizations                  | 456 kB     |            7
 public     | profile_projects                       | 240 kB     |            6
 public     | profiles                               | 6792 kB    |          171
 public     | project_analyses                       | 632 kB     |            9
 public     | project_analytics                      | 32 kB      |           21
 public     | project_contexts                       | 192 kB     |           24
 public     | project_media                          | 24 kB      |            7
 public     | project_organizations                  | 80 kB      |            6
 public     | project_participants                   | 48 kB      |            9
 public     | project_profiles                       | 64 kB      |           32
 public     | project_seed_interviews                | 96 kB      |            9
 public     | project_storytellers                   | 112 kB     |            8
 public     | project_updates                        | 64 kB      |            5
 public     | projects                               | 232 kB     |           20
 public     | quotes                                 | 144 kB     |           30
 public     | report_feedback                        | 16 kB      |           16
 public     | report_sections                        | 32 kB      |           21
 public     | report_templates                       | 48 kB      |           17
 public     | ripple_effects                         | 32 kB      |           15
 public     | sroi_calculations                      | 16 kB      |           11
 public     | sroi_inputs                            | 32 kB      |           10
 public     | sroi_outcomes                          | 32 kB      |           17
 public     | stories                                | 15 MB      |           99
 public     | story_access_log                       | 40 kB      |            8
 public     | story_access_tokens                    | 64 kB      |           14
 public     | story_distributions                    | 64 kB      |           27
 public     | story_engagement_daily                 | 40 kB      |           16
 public     | story_engagement_events                | 80 kB      |           19
 public     | story_images                           | 40 kB      |           23
 public     | story_media                            | 48 kB      |           21
 public     | story_narrative_arcs                   | 48 kB      |           19
 public     | story_project_features                 | 48 kB      |           13
 public     | story_project_tags                     | 64 kB      |           20
 public     | story_review_invitations               | 112 kB     |           14
 public     | story_syndication_consent              | 112 kB     |           19
 public     | story_syndication_requests             | 64 kB      |           12
 public     | storyteller_analytics                  | 472 kB     |           24
 public     | storyteller_connections                | 80 kB      |           33
 public     | storyteller_dashboard_config           | 64 kB      |           17
 public     | storyteller_demographics               | 168 kB     |           35
 public     | storyteller_engagement                 | 96 kB      |           40
 public     | storyteller_impact_metrics             | 72 kB      |           40
 public     | storyteller_locations                  | 176 kB     |            8
 public     | storyteller_media_links                | 72 kB      |           16
 public     | storyteller_milestones                 | 48 kB      |           22
 public     | storyteller_organizations              | 392 kB     |           10
 public     | storyteller_project_features           | 56 kB      |           18
 public     | storyteller_projects                   | 104 kB     |           10
 public     | storyteller_quotes                     | 408 kB     |           28
 public     | storyteller_recommendations            | 72 kB      |           35
 public     | storyteller_themes                     | 56 kB      |           14
 public     | storytelling_circle_evaluations        | 32 kB      |           13
 public     | team_members                           | 32 kB      |           11
 public     | tenant_ai_policies                     | 24 kB      |           23
 public     | tenants                                | 160 kB     |           16
